feature,importance
int_rate_num,0.3387681066668775
term_num,0.08959456700506117
term_idx,0.08915717077708563
credit_stress_score,0.0649840164324129
fico_range_high,0.06301511553882008
income_to_loan_ratio,0.050723959882874814
installment_income_ratio,0.0464696457991801
dti,0.0382803394979498
fico_bucket_idx,0.028034278507926114
revol_util_num,0.027425427431857757
annual_inc,0.027243484522248677
home_ownership_idx,0.02412757765169603
installment,0.02023750652772167
total_acc,0.01830242716873175
loan_amnt,0.017975181678323824
open_acc,0.014307040424346154
purpose_idx,0.013600363735387342
emp_length_num,0.009236924840634675
verification_status_idx,0.009107245596550788
delinquency_risk_score,0.007794397157989845
high_risk_purpose_flag,0.0016152231563233285
