model,fp_cost,fn_cost,optimal_threshold,minimum_expected_cost,f1_at_optimal,recall_at_optimal,precision_at_optimal
GBTClassifier,1.0,3.0,0.55,26734.0,0.4364629424778761,0.5475756787232197,0.3628369446519915
GBTClassifier,1.0,5.0,0.4,33568.0,0.428311912439257,0.8180241131060804,0.29010427881509737
GBTClassifier,2.0,5.0,0.6,47721.0,0.41896558729126887,0.44722005377743085,0.39406909202078877
GBTClassifier,1.0,8.0,0.3,37958.0,0.40268252370005886,0.9192471159684275,0.25780869903668385
GBTClassifier,3.0,10.0,0.5,84617.0,0.44378262023412846,0.652701882210079,0.33617762687634023
