feature,importance
int_rate_num,0.18254222955078098
purpose_idx,0.09252265599339204
dti,0.07122261470980674
fico_range_high,0.06588522972272717
total_acc,0.06527327895493952
revol_util_num,0.06413020499033652
annual_inc,0.05337151865841484
income_to_loan_ratio,0.05022790312276274
open_acc,0.04844810995117852
credit_stress_score,0.04800530996270272
installment_income_ratio,0.0475863344351484
installment,0.046460428420720304
emp_length_num,0.03936435169539467
loan_amnt,0.035842628524590095
delinquency_risk_score,0.026801612631729407
home_ownership_idx,0.022705017042263666
verification_status_idx,0.020644395208960064
term_idx,0.011704182514625187
fico_bucket_idx,0.006876328538571785
term_num,0.00023116279241506058
high_risk_purpose_flag,0.00015450257853962223
