fpr,tpr,threshold
0.0,0.0,inf
0.0,8.673779165582444e-05,0.9699534380944467
0.0,0.00017347558331164888,0.9290759328654483
2.3347030257751215e-05,0.00017347558331164888,0.9254563042179337
2.3347030257751215e-05,0.0009541157082140688,0.9136900009755553
7.004109077325365e-05,0.0009541157082140688,0.9128396505542146
7.004109077325365e-05,0.0012143290831815423,0.9109197919380977
9.338812103100486e-05,0.0012143290831815423,0.9108137893112037
9.338812103100486e-05,0.001387804666493191,0.9061623604840326
0.00011673515128875607,0.001387804666493191,0.905173258116043
0.00011673515128875607,0.0014745424581490156,0.9042303743136769
0.0001400821815465073,0.0014745424581490156,0.9038124908562825
0.0001400821815465073,0.00156128024980484,0.9030028609564502
0.0001634292118042585,0.00156128024980484,0.9024727353550478
0.0001634292118042585,0.0016480180414606643,0.9021730551062037
0.00018677624206200972,0.0016480180414606643,0.9019799218183626
0.00018677624206200972,0.001734755833116489,0.9015431184791747
0.00023347030257751214,0.001734755833116489,0.9008221802329693
0.00023347030257751214,0.0019082314164281377,0.9000206020151933
0.00025681733283526337,0.0019082314164281377,0.8996951631983776
0.00025681733283526337,0.0025153959580189087,0.8948747680456691
0.0002801643630930146,0.0025153959580189087,0.894324342575759
0.0002801643630930146,0.0036429872495446266,0.8897174932207612
0.000326858423608517,0.0036429872495446266,0.8891938035709067
0.000326858423608517,0.004076676207823749,0.8881601598047861
0.0003502054538662682,0.004076676207823749,0.887685383914064
0.0003502054538662682,0.004770578541070344,0.8868381844553084
0.00037355248412401944,0.004770578541070344,0.8862721990686084
0.00037355248412401944,0.004944054124381993,0.885954133752048
0.0003968995143817706,0.004944054124381993,0.8858499351917406
0.0003968995143817706,0.005117529707693642,0.8853554816369953
0.00044359357489727306,0.005117529707693642,0.8849256603471464
0.00044359357489727306,0.005291005291005291,0.884257760303546
0.0004902876354127755,0.005291005291005291,0.883844979507088
0.0004902876354127755,0.005377743082661116,0.8835917656967475
0.0005136346656705267,0.005377743082661116,0.8834793248343362
0.0005136346656705267,0.005551218665972764,0.882787447273654
0.000536981695928278,0.005551218665972764,0.8827389185920429
0.000536981695928278,0.005898169832596062,0.8826423805439774
0.0005836757564437803,0.005898169832596062,0.8823516732231552
0.0005836757564437803,0.0059849076242518865,0.8822058922923761
0.0006070227867015315,0.0059849076242518865,0.8821144331105449
0.0006070227867015315,0.006505334374186833,0.8813484798156572
0.0006303698169592828,0.006505334374186833,0.8813291145557418
0.0006303698169592828,0.007285974499089253,0.8792582702765581
0.000653716847217034,0.007285974499089253,0.8792230137588151
0.000653716847217034,0.007459450082400902,0.87883613365631
0.0006770638774747852,0.007459450082400902,0.8788031829080405
0.0006770638774747852,0.0078064012490242,0.8783796813419165
0.0007237579379902877,0.0078064012490242,0.878205403961948
0.0007237579379902877,0.007893139040680024,0.878076461440588
0.0007704519985057901,0.007893139040680024,0.8776511962051103
0.0007704519985057901,0.008066614623991674,0.8772505827475002
0.0007937990287635412,0.008066614623991674,0.876929888120866
0.0007937990287635412,0.008673779165582445,0.8751733812492344
0.0008404930892790437,0.008673779165582445,0.8751600856017866
0.0008404930892790437,0.009020730332205741,0.8749189829844561
0.0008871871497945461,0.009020730332205741,0.874801015812677
0.0008871871497945461,0.009107468123861567,0.8747175461461172
0.0009105341800522974,0.009107468123861567,0.8741991241593099
0.0009105341800522974,0.009194205915517391,0.8740049624988153
0.0009338812103100486,0.009194205915517391,0.873921308719424
0.0009338812103100486,0.009627894873796514,0.8733166378387385
0.0009572282405677998,0.009627894873796514,0.8733125815924528
0.0009572282405677998,0.009801370457108162,0.873228043003107
0.000980575270825551,0.009801370457108162,0.8731886407885423
0.000980575270825551,0.00997484604041981,0.8730533379656613
0.0010039223010833021,0.00997484604041981,0.8726496394113468
0.0010039223010833021,0.010061583832075635,0.8723762549270987
0.0010272693313410535,0.010061583832075635,0.8722300866617863
0.0010272693313410535,0.010321797207043109,0.8720113952769466
0.0010506163615988046,0.010321797207043109,0.8719666510291363
0.0010506163615988046,0.010408534998698933,0.8718663222565002
0.001073963391856556,0.010408534998698933,0.8714985488887534
0.001073963391856556,0.010495272790354757,0.8714839728469413
0.0011206574523720584,0.010495272790354757,0.8712451147657443
0.0011206574523720584,0.010582010582010581,0.8712283545588171
0.0011440044826298095,0.010582010582010581,0.8711800731076653
0.0011440044826298095,0.011102437331945528,0.8702337388754089
0.0011673515128875606,0.011102437331945528,0.8701202052472967
0.0011673515128875606,0.011189175123601354,0.8698538664117781
0.001214045573403063,0.011189175123601354,0.8696422911067294
0.001214045573403063,0.011275912915257178,0.8694660146366007
0.0012607396339185655,0.011275912915257178,0.8691888122835878
0.0012607396339185655,0.011362650706913002,0.8689947619670343
0.0012840866641763168,0.011362650706913002,0.8689008233086898
0.0012840866641763168,0.011449388498568826,0.8688710319863941
0.001307433694434068,0.011449388498568826,0.86856845694013
0.001307433694434068,0.01153612629022465,0.8683428303424998
0.0013307807246918193,0.01153612629022465,0.8682173134295856
0.0013307807246918193,0.011622864081880475,0.8681129306140722
0.001424168845722824,0.011622864081880475,0.8676880364030455
0.001424168845722824,0.011796339665192125,0.8675599584303216
0.0014942099364960778,0.011796339665192125,0.8673980035330048
0.0014942099364960778,0.012750455373406194,0.8651433528827002
0.0015175569667538289,0.012750455373406194,0.8651043688028096
0.0015175569667538289,0.01309740654002949,0.8640928402709576
0.0015642510272693313,0.01309740654002949,0.8638704171931451
0.0015642510272693313,0.013184144331685315,0.863857757385289
0.0015875980575270825,0.013184144331685315,0.8638402059761663
0.0015875980575270825,0.013617833289964437,0.8628832292572857
0.0016109450877848338,0.013617833289964437,0.8623639307960846
0.0016109450877848338,0.013704571081620261,0.8622971117979815
0.001634292118042585,0.013704571081620261,0.8622449590536241
0.001634292118042585,0.013878046664931911,0.8620851605899721
0.0016576391483003362,0.013878046664931911,0.8618469460240381
0.0016576391483003362,0.014138260039899384,0.8612300057394483
0.0017043332088158387,0.014138260039899384,0.8607289034765637
0.0017043332088158387,0.014224997831555208,0.8602775512191001
0.0017276802390735898,0.014224997831555208,0.8600426659275178
0.0017276802390735898,0.014398473414866858,0.8597751663137947
0.0017977213298468436,0.014398473414866858,0.859710229205987
0.0017977213298468436,0.01483216237314598,0.8593894244616922
0.0018210683601045947,0.01483216237314598,0.8590833760090074
