model,accuracy,f1,precision,recall,auc,tn,fp,fn,tp,mlflow_run_id
GBTClassifier,0.6530049116094259,0.44378262023412846,0.33617762687634023,0.652701882210079,0.7125159146189081,27973,14859,4004,7525,c270b04f640a4cada1716e37f67c8d23
RandomForestClassifier,0.655451518551903,0.44092889976717814,0.3361398079461157,0.6406453291699193,0.7096298549389009,28245,14587,4143,7386,476a7f00a4e14eecb228f9d9e4bb7ec7
LogisticRegression,0.6576037968396461,0.43718061141181097,0.3355770123479714,0.6270274958799549,0.7036544985565788,28519,14313,4300,7229,fb2fd8df844948f28b7e3d1b7606ae4a
LinearSVC,0.6796416548628612,0.4298575871664757,0.3452355910811948,0.5694336022204874,0.7012429856440692,30381,12451,4964,6565,21e4344289854e9bafa81692123734a8
DecisionTreeClassifier,0.6382884788727212,0.4347601115359186,0.3251354372688967,0.6559111805013444,0.5885718933654598,27136,15696,3967,7562,091bdba8df2548e98ee851211308a1fa
