home_ownership_idx,default_rate,loan_count
0,0.18313204568807612,134302
1,0.24556472861408749,108167
2,0.21995822060888326,29201
3,0.20967741935483872,62
4,0.25925925925925924,27
5,0.16666666666666666,6
