fpr,tpr,threshold
0.0,0.0,inf
0.0,8.673779165582444e-05,0.9699534380944468
0.0,0.0001734755833116,0.9290759328654484
2.3347030257751212e-05,0.0001734755833116,0.9254563042179336
2.3347030257751212e-05,0.000954115708214,0.9136900009755552
7.004109077325365e-05,0.000954115708214,0.9128396505542146
7.004109077325365e-05,0.0012143290831815,0.9109197919380976
9.338812103100486e-05,0.0012143290831815,0.9108137893112036
9.338812103100486e-05,0.0013878046664931,0.9061623604840326
0.0001167351512887,0.0013878046664931,0.905173258116043
0.0001167351512887,0.001474542458149,0.9042303743136768
0.0001400821815465,0.001474542458149,0.9038124908562823
0.0001400821815465,0.0015612802498048,0.9030028609564502
0.0001634292118042,0.0015612802498048,0.9024727353550478
0.0001634292118042,0.0016480180414606,0.9021730551062036
0.000186776242062,0.0016480180414606,0.9019799218183626
0.000186776242062,0.0017347558331164,0.9015431184791748
0.0002334703025775,0.0017347558331164,0.9008221802329692
0.0002334703025775,0.0019082314164281,0.9000206020151933
0.0002568173328352,0.0019082314164281,0.8996951631983776
0.0002568173328352,0.0025153959580189,0.8948747680456691
0.000280164363093,0.0025153959580189,0.894324342575759
0.000280164363093,0.0036429872495446,0.8897174932207612
0.0003268584236085,0.0036429872495446,0.8891938035709067
0.0003268584236085,0.0040766762078237,0.8881601598047861
0.0003502054538662,0.0040766762078237,0.887685383914064
0.0003502054538662,0.0047705785410703,0.8868381844553084
0.000373552484124,0.0047705785410703,0.8862721990686084
0.000373552484124,0.0049440541243819,0.885954133752048
0.0003968995143817,0.0049440541243819,0.8858499351917406
0.0003968995143817,0.0051175297076936,0.8853554816369953
0.0004435935748972,0.0051175297076936,0.8849256603471464
0.0004435935748972,0.0052910052910052,0.884257760303546
0.0004902876354127,0.0052910052910052,0.883844979507088
0.0004902876354127,0.0053777430826611,0.8835917656967475
0.0005136346656705,0.0053777430826611,0.8834793248343362
0.0005136346656705,0.0055512186659727,0.882787447273654
0.0005369816959282,0.0055512186659727,0.8827389185920429
0.0005369816959282,0.005898169832596,0.8826423805439774
0.0005836757564437,0.005898169832596,0.8823516732231552
0.0005836757564437,0.0059849076242518,0.8822058922923761
0.0006070227867015,0.0059849076242518,0.8821144331105449
0.0006070227867015,0.0065053343741868,0.8813484798156572
0.0006303698169592,0.0065053343741868,0.8813291145557418
0.0006303698169592,0.0072859744990892,0.8792582702765581
0.000653716847217,0.0072859744990892,0.8792230137588151
0.000653716847217,0.0074594500824009,0.87883613365631
0.0006770638774747,0.0074594500824009,0.8788031829080405
0.0006770638774747,0.0078064012490242,0.8783796813419165
0.0007237579379902,0.0078064012490242,0.878205403961948
0.0007237579379902,0.00789313904068,0.878076461440588
0.0007704519985057,0.00789313904068,0.8776511962051103
0.0007704519985057,0.0080666146239916,0.8772505827475002
0.0007937990287635,0.0080666146239916,0.876929888120866
0.0007937990287635,0.0086737791655824,0.8751733812492344
0.000840493089279,0.0086737791655824,0.8751600856017866
0.000840493089279,0.0090207303322057,0.8749189829844561
0.0008871871497945,0.0090207303322057,0.874801015812677
0.0008871871497945,0.0091074681238615,0.8747175461461172
0.0009105341800522,0.0091074681238615,0.8741991241593099
0.0009105341800522,0.0091942059155173,0.8740049624988153
0.00093388121031,0.0091942059155173,0.873921308719424
0.00093388121031,0.0096278948737965,0.8733166378387385
0.0009572282405677,0.0096278948737965,0.8733125815924528
0.0009572282405677,0.0098013704571081,0.873228043003107
0.0009805752708255,0.0098013704571081,0.8731886407885423
0.0009805752708255,0.0099748460404198,0.8730533379656613
0.0010039223010833,0.0099748460404198,0.8726496394113468
0.0010039223010833,0.0100615838320756,0.8723762549270987
0.001027269331341,0.0100615838320756,0.8722300866617863
0.001027269331341,0.0103217972070431,0.8720113952769466
0.0010506163615988,0.0103217972070431,0.8719666510291363
0.0010506163615988,0.0104085349986989,0.8718663222565002
