model,fp_cost,fn_cost,optimal_threshold,minimum_expected_cost,f1_at_optimal,recall_at_optimal,precision_at_optimal
GBTClassifier,1.0,3.0,0.55,26734.0,0.4364629424778761,0.5475756787232197,0.3628369446519915
GBTClassifier,1.0,5.0,0.4,33568.0,0.428311912439257,0.8180241131060804,0.2901042788150973
GBTClassifier,2.0,5.0,0.6,47721.0,0.4189655872912688,0.4472200537774308,0.3940690920207887
GBTClassifier,1.0,8.0,0.3,37958.0,0.4026825237000588,0.9192471159684276,0.2578086990366838
GBTClassifier,3.0,10.0,0.5,84617.0,0.4437826202341284,0.652701882210079,0.3361776268763402
