feature,importance
int_rate_num,0.3387681066668775
term_num,0.0895945670050611
term_idx,0.0891571707770856
credit_stress_score,0.0649840164324129
fico_range_high,0.06301511553882
income_to_loan_ratio,0.0507239598828748
installment_income_ratio,0.0464696457991801
dti,0.0382803394979498
fico_bucket_idx,0.0280342785079261
revol_util_num,0.0274254274318577
annual_inc,0.0272434845222486
home_ownership_idx,0.024127577651696
installment,0.0202375065277216
total_acc,0.0183024271687317
loan_amnt,0.0179751816783238
open_acc,0.0143070404243461
purpose_idx,0.0136003637353873
emp_length_num,0.0092369248406346
verification_status_idx,0.0091072455965507
delinquency_risk_score,0.0077943971579898
high_risk_purpose_flag,0.0016152231563233
