fico_band,default_rate,loan_count
0,0.09090909090909091,11
660,0.2652735717903676,92791
680,0.2278924072182499,73425
700,0.18571715548413018,49780
720,0.15001508068164682,26524
740,0.11915109372736492,13806
760,0.10588235294117647,7735
780,0.07605820105820106,4536
800,0.0646127513906718,2337
820,0.0718232044198895,724
840,0.16666666666666666,96
