issue_month,default_rate,loan_count
2007-06,0.0,1
2007-07,0.0,7
2007-08,0.2857142857142857,7
2007-09,0.5,4
2007-10,0.08333333333333333,12
2007-11,0.2857142857142857,7
2007-12,0.1875,16
2008-01,0.14285714285714285,35
2008-02,0.2222222222222222,36
2008-03,0.1346153846153846,52
2008-04,0.10526315789473684,38
2008-05,0.2,20
2008-06,0.2857142857142857,14
2008-07,0.2608695652173913,23
2008-08,0.23076923076923078,13
2008-09,0.14285714285714285,7
2008-10,0.15384615384615385,26
2008-11,0.1111111111111111,36
2008-12,0.1,40
2009-01,0.11627906976744186,43
2009-02,0.061224489795918366,49
2009-03,0.07936507936507936,63
2009-04,0.14285714285714285,49
2009-05,0.16455696202531644,79
2009-06,0.13924050632911392,79
2009-07,0.0975609756097561,82
2009-08,0.07608695652173914,92
2009-09,0.16666666666666666,90
2009-10,0.1694915254237288,118
2009-11,0.14285714285714285,119
2009-12,0.1,110
2010-01,0.1328125,128
2010-02,0.09836065573770492,122
2010-03,0.10062893081761007,159
2010-04,0.0736196319018405,163
2010-05,0.1657754010695187,187
2010-06,0.16585365853658537,205
2010-07,0.12135922330097088,206
2010-08,0.11711711711711711,222
2010-09,0.1485148514851485,202
2010-10,0.12133891213389121,239
2010-11,0.12727272727272726,220
2010-12,0.11290322580645161,248
2011-01,0.13405797101449277,276
2011-02,0.14285714285714285,266
2011-03,0.16428571428571428,280
2011-04,0.18088737201365188,293
2011-05,0.18098159509202455,326
2011-06,0.10946745562130178,338
2011-07,0.16539440203562342,393
2011-08,0.1377551020408163,392
2011-09,0.12562814070351758,398
2011-10,0.1728110599078341,434
2011-11,0.14858490566037735,424
2011-12,0.20412844036697247,436
2012-01,0.1750465549348231,537
2012-02,0.15789473684210525,513
2012-03,0.14285714285714285,581
2012-04,0.12599681020733652,627
2012-05,0.1623931623931624,702
2012-06,0.18309859154929578,781
2012-07,0.17083333333333334,960
2012-08,0.17613636363636365,1056
2012-09,0.1518987341772152,1185
2012-10,0.16446280991735537,1210
2012-11,0.1664050235478807,1274
2012-12,0.15217391304347827,1196
2013-01,0.16903515332834704,1337
2013-02,0.16084377059986815,1517
2013-03,0.15699873896595207,1586
2013-04,0.15151515151515152,1815
2013-05,0.16221562809099901,2022
2013-06,0.15463437354448067,2147
2013-07,0.14690939881456394,2362
2013-08,0.15490737091052423,2537
2013-09,0.14970530451866404,2545
2013-10,0.15959376133478417,2757
2013-11,0.15145228215767634,2892
2013-12,0.15574043261231282,3005
2014-01,0.1615748031496063,3175
2014-02,0.1539961013645224,3078
2014-03,0.17420170723996206,3163
2014-04,0.18308679877197878,3583
2014-05,0.1857876712328767,3504
2014-06,0.1998166819431714,3273
2014-07,0.19123579024569123,5454
2014-08,0.17800167926112512,3573
2014-09,0.1940928270042194,1896
2014-10,0.20002793686269033,7159
2014-11,0.19057104913678619,4518
2014-12,0.18491620111731844,1790
2015-01,0.19984555984555985,6475
2015-02,0.19057471264367817,4350
2015-03,0.21285745001075038,4651
2015-04,0.21204107031736155,6428
2015-05,0.20395550061804696,5663
2015-06,0.21062160531080265,4971
2015-07,0.20143709657776154,8211
2015-08,0.20808599390341728,6233
2015-09,0.22012578616352202,5088
2015-10,0.1896571494094714,8721
2015-11,0.2005428226779252,6632
2015-12,0.21209029460527995,7841
2016-01,0.1979204015776264,5578
2016-02,0.20173074194921264,7049
2016-03,0.22843799682034976,10064
2016-04,0.26537282941777324,4895
2016-05,0.2776536312849162,3580
2016-06,0.25537050446536325,4143
2016-07,0.266803840877915,4374
2016-08,0.2821085548358276,4477
2016-09,0.2818235642391948,3378
2016-10,0.24881889763779527,3810
2016-11,0.26360887096774194,3968
2016-12,0.26487572181772534,3983
2017-01,0.2537488973831226,3401
2017-02,0.23790756001433178,2791
2017-03,0.24956521739130436,3450
2017-04,0.2580882352941177,2720
2017-05,0.27533632286995513,3345
2017-06,0.2564182842830307,3194
2017-07,0.27977748691099474,3056
2017-08,0.2727832512315271,3248
2017-09,0.28195224719101125,2848
2017-10,0.26258116883116883,2464
2017-11,0.2506759366550792,2589
2017-12,0.26062322946175637,2118
2018-01,0.24756756756756756,1850
2018-02,0.2745740498034076,1526
2018-03,0.27364438839848676,1586
2018-04,0.2729044834307992,1539
2018-05,0.2812903225806452,1550
2018-06,0.28584310189359785,1109
2018-07,0.24335812964930925,941
2018-08,0.19879518072289157,830
2018-09,0.23183391003460208,578
2018-10,0.18867924528301888,530
2018-11,0.18341708542713567,398
2018-12,0.14006514657980457,307
