feature,importance
int_rate_num,0.1825422295507809
purpose_idx,0.092522655993392
dti,0.0712226147098067
fico_range_high,0.0658852297227271
total_acc,0.0652732789549395
revol_util_num,0.0641302049903365
annual_inc,0.0533715186584148
income_to_loan_ratio,0.0502279031227627
open_acc,0.0484481099511785
credit_stress_score,0.0480053099627027
installment_income_ratio,0.0475863344351484
installment,0.0464604284207203
emp_length_num,0.0393643516953946
loan_amnt,0.03584262852459
delinquency_risk_score,0.0268016126317294
home_ownership_idx,0.0227050170422636
verification_status_idx,0.02064439520896
term_idx,0.0117041825146251
fico_bucket_idx,0.0068763285385717
term_num,0.000231162792415
high_risk_purpose_flag,0.0001545025785396
